2018-03-12 00:10:49,561 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Failure to transfer com.yizhenmoney.damocles.tpp:damocles-tpp-client:2.0.2-SNAPSHOT/maven-metadata.xml from http://192.168.220.207:8081/content/repositories/snapshots/ was cached in the local repository, resolution will not be reattempted until the update interval of snapshots has elapsed or updates are forced. Original error: Could not transfer metadata com.yizhenmoney.damocles.tpp:damocles-tpp-client:2.0.2-SNAPSHOT/maven-metadata.xml from/to snapshots (http://192.168.220.207:8081/content/repositories/snapshots/): connect timed out
2018-03-12 00:10:59,577 [pool-3-thread-2] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://192.168.220.207:8081/content/repositories/snapshots/com/yizhenmoney/damocles/tpp/damocles-tpp/2.0.2-SNAPSHOT/maven-metadata.xml
2018-03-12 00:10:59,578 [pool-3-thread-1] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://192.168.220.207:8081/content/groups/public/com/yizhenmoney/damocles/tpp/damocles-tpp/2.0.2-SNAPSHOT/maven-metadata.xml
2018-03-12 00:10:59,580 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Could not transfer metadata com.yizhenmoney.damocles.tpp:damocles-tpp:2.0.2-SNAPSHOT/maven-metadata.xml from/to nexus (http://192.168.220.207:8081/content/groups/public/): connect timed out
2018-03-12 00:10:59,581 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Could not transfer metadata com.yizhenmoney.damocles.tpp:damocles-tpp:2.0.2-SNAPSHOT/maven-metadata.xml from/to snapshots (http://192.168.220.207:8081/content/repositories/snapshots/): connect timed out
2018-03-12 00:11:09,600 [pool-4-thread-2] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://192.168.220.207:8081/content/repositories/snapshots/com/yizhenmoney/damocles/autocredit/damocles-common/1.0.0-SNAPSHOT/maven-metadata.xml
2018-03-12 00:11:09,600 [pool-4-thread-1] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://192.168.220.207:8081/content/groups/public/com/yizhenmoney/damocles/autocredit/damocles-common/1.0.0-SNAPSHOT/maven-metadata.xml
2018-03-12 00:11:09,604 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Could not transfer metadata com.yizhenmoney.damocles.autocredit:damocles-common:1.0.0-SNAPSHOT/maven-metadata.xml from/to nexus (http://192.168.220.207:8081/content/groups/public/): connect timed out
2018-03-12 00:11:09,605 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Could not transfer metadata com.yizhenmoney.damocles.autocredit:damocles-common:1.0.0-SNAPSHOT/maven-metadata.xml from/to snapshots (http://192.168.220.207:8081/content/repositories/snapshots/): connect timed out
2018-03-12 00:11:09,609 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Failure to transfer com.yizhenmoney.damocles.autocredit:damocles-common:1.0.0-SNAPSHOT/maven-metadata.xml from http://192.168.220.207:8081/content/groups/public/ was cached in the local repository, resolution will not be reattempted until the update interval of nexus has elapsed or updates are forced. Original error: Could not transfer metadata com.yizhenmoney.damocles.autocredit:damocles-common:1.0.0-SNAPSHOT/maven-metadata.xml from/to nexus (http://192.168.220.207:8081/content/groups/public/): connect timed out
2018-03-12 00:11:09,610 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Failure to transfer com.yizhenmoney.damocles.autocredit:damocles-common:1.0.0-SNAPSHOT/maven-metadata.xml from http://192.168.220.207:8081/content/repositories/snapshots/ was cached in the local repository, resolution will not be reattempted until the update interval of snapshots has elapsed or updates are forced. Original error: Could not transfer metadata com.yizhenmoney.damocles.autocredit:damocles-common:1.0.0-SNAPSHOT/maven-metadata.xml from/to snapshots (http://192.168.220.207:8081/content/repositories/snapshots/): connect timed out
2018-03-12 00:11:19,627 [pool-5-thread-1] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://192.168.220.207:8081/content/groups/public/com/yizhenmoney/damocles/autocredit/damocles-autocredit/1.0.0-SNAPSHOT/maven-metadata.xml
2018-03-12 00:11:19,627 [pool-5-thread-2] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://192.168.220.207:8081/content/repositories/snapshots/com/yizhenmoney/damocles/autocredit/damocles-autocredit/1.0.0-SNAPSHOT/maven-metadata.xml
2018-03-12 00:11:19,630 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Could not transfer metadata com.yizhenmoney.damocles.autocredit:damocles-autocredit:1.0.0-SNAPSHOT/maven-metadata.xml from/to nexus (http://192.168.220.207:8081/content/groups/public/): connect timed out
2018-03-12 00:11:19,632 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Could not transfer metadata com.yizhenmoney.damocles.autocredit:damocles-autocredit:1.0.0-SNAPSHOT/maven-metadata.xml from/to snapshots (http://192.168.220.207:8081/content/repositories/snapshots/): connect timed out
2018-03-12 00:11:29,835 [pool-6-thread-2] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://192.168.220.207:8081/content/repositories/snapshots/com/yizhenmoney/damocles/coupon/0.0.1-SNAPSHOT/maven-metadata.xml
2018-03-12 00:11:29,836 [pool-6-thread-1] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://192.168.220.207:8081/content/groups/public/com/yizhenmoney/damocles/coupon/0.0.1-SNAPSHOT/maven-metadata.xml
2018-03-12 00:11:29,839 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Could not transfer metadata com.yizhenmoney.damocles:coupon:0.0.1-SNAPSHOT/maven-metadata.xml from/to nexus (http://192.168.220.207:8081/content/groups/public/): connect timed out
2018-03-12 00:11:29,840 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Could not transfer metadata com.yizhenmoney.damocles:coupon:0.0.1-SNAPSHOT/maven-metadata.xml from/to snapshots (http://192.168.220.207:8081/content/repositories/snapshots/): connect timed out
2018-03-12 00:11:39,862 [pool-7-thread-1] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://192.168.220.207:8081/content/groups/public/com/yizhenmoney/owl-rpc/1.0-SNAPSHOT/maven-metadata.xml
2018-03-12 00:11:39,862 [pool-7-thread-2] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://192.168.220.207:8081/content/repositories/snapshots/com/yizhenmoney/owl-rpc/1.0-SNAPSHOT/maven-metadata.xml
2018-03-12 00:11:39,866 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Could not transfer metadata com.yizhenmoney:owl-rpc:1.0-SNAPSHOT/maven-metadata.xml from/to nexus (http://192.168.220.207:8081/content/groups/public/): connect timed out
2018-03-12 00:11:39,868 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Could not transfer metadata com.yizhenmoney:owl-rpc:1.0-SNAPSHOT/maven-metadata.xml from/to snapshots (http://192.168.220.207:8081/content/repositories/snapshots/): connect timed out
2018-03-12 00:11:39,874 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Failure to transfer com.yizhenmoney:owl-rpc:1.0-SNAPSHOT/maven-metadata.xml from http://192.168.220.207:8081/content/groups/public/ was cached in the local repository, resolution will not be reattempted until the update interval of nexus has elapsed or updates are forced. Original error: Could not transfer metadata com.yizhenmoney:owl-rpc:1.0-SNAPSHOT/maven-metadata.xml from/to nexus (http://192.168.220.207:8081/content/groups/public/): connect timed out
2018-03-12 00:11:39,877 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Failure to transfer com.yizhenmoney:owl-rpc:1.0-SNAPSHOT/maven-metadata.xml from http://192.168.220.207:8081/content/repositories/snapshots/ was cached in the local repository, resolution will not be reattempted until the update interval of snapshots has elapsed or updates are forced. Original error: Could not transfer metadata com.yizhenmoney:owl-rpc:1.0-SNAPSHOT/maven-metadata.xml from/to snapshots (http://192.168.220.207:8081/content/repositories/snapshots/): connect timed out
2018-03-12 00:11:49,890 [pool-8-thread-1] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://192.168.220.207:8081/content/groups/public/com/yizhenmoney/owl/1.0-SNAPSHOT/maven-metadata.xml
2018-03-12 00:11:49,890 [pool-8-thread-2] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://192.168.220.207:8081/content/repositories/snapshots/com/yizhenmoney/owl/1.0-SNAPSHOT/maven-metadata.xml
2018-03-12 00:11:49,893 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Could not transfer metadata com.yizhenmoney:owl:1.0-SNAPSHOT/maven-metadata.xml from/to nexus (http://192.168.220.207:8081/content/groups/public/): connect timed out
2018-03-12 00:11:49,895 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Could not transfer metadata com.yizhenmoney:owl:1.0-SNAPSHOT/maven-metadata.xml from/to snapshots (http://192.168.220.207:8081/content/repositories/snapshots/): connect timed out
2018-03-12 00:11:59,969 [pool-9-thread-1] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://192.168.220.207:8081/content/groups/public/com/yizhenmoney/thrall_client/0.2-SNAPSHOT/maven-metadata.xml
2018-03-12 00:11:59,969 [pool-9-thread-2] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://192.168.220.207:8081/content/repositories/snapshots/com/yizhenmoney/thrall_client/0.2-SNAPSHOT/maven-metadata.xml
2018-03-12 00:11:59,973 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Could not transfer metadata com.yizhenmoney:thrall_client:0.2-SNAPSHOT/maven-metadata.xml from/to nexus (http://192.168.220.207:8081/content/groups/public/): connect timed out
2018-03-12 00:11:59,974 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Could not transfer metadata com.yizhenmoney:thrall_client:0.2-SNAPSHOT/maven-metadata.xml from/to snapshots (http://192.168.220.207:8081/content/repositories/snapshots/): connect timed out
2018-03-12 00:11:59,978 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Failure to transfer com.yizhenmoney:thrall_client:0.2-SNAPSHOT/maven-metadata.xml from http://192.168.220.207:8081/content/groups/public/ was cached in the local repository, resolution will not be reattempted until the update interval of nexus has elapsed or updates are forced. Original error: Could not transfer metadata com.yizhenmoney:thrall_client:0.2-SNAPSHOT/maven-metadata.xml from/to nexus (http://192.168.220.207:8081/content/groups/public/): connect timed out
2018-03-12 00:11:59,979 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Failure to transfer com.yizhenmoney:thrall_client:0.2-SNAPSHOT/maven-metadata.xml from http://192.168.220.207:8081/content/repositories/snapshots/ was cached in the local repository, resolution will not be reattempted until the update interval of snapshots has elapsed or updates are forced. Original error: Could not transfer metadata com.yizhenmoney:thrall_client:0.2-SNAPSHOT/maven-metadata.xml from/to snapshots (http://192.168.220.207:8081/content/repositories/snapshots/): connect timed out
2018-03-12 00:12:09,993 [pool-10-thread-2] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://192.168.220.207:8081/content/repositories/snapshots/com/yizhenmoney/thrall/0.1-SNAPSHOT/maven-metadata.xml
2018-03-12 00:12:09,993 [pool-10-thread-1] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://192.168.220.207:8081/content/groups/public/com/yizhenmoney/thrall/0.1-SNAPSHOT/maven-metadata.xml
2018-03-12 00:12:10,001 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Could not transfer metadata com.yizhenmoney:thrall:0.1-SNAPSHOT/maven-metadata.xml from/to nexus (http://192.168.220.207:8081/content/groups/public/): connect timed out
2018-03-12 00:12:10,006 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Could not transfer metadata com.yizhenmoney:thrall:0.1-SNAPSHOT/maven-metadata.xml from/to snapshots (http://192.168.220.207:8081/content/repositories/snapshots/): connect timed out
2018-03-12 00:12:20,159 [pool-11-thread-1] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://192.168.220.207:8081/content/groups/public/com/yizhenmoney/common/damocles-common-redis/1.1.0-SNAPSHOT/maven-metadata.xml
2018-03-12 00:12:20,159 [pool-11-thread-2] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://192.168.220.207:8081/content/repositories/snapshots/com/yizhenmoney/common/damocles-common-redis/1.1.0-SNAPSHOT/maven-metadata.xml
2018-03-12 00:12:20,166 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Could not transfer metadata com.yizhenmoney.common:damocles-common-redis:1.1.0-SNAPSHOT/maven-metadata.xml from/to nexus (http://192.168.220.207:8081/content/groups/public/): connect timed out
2018-03-12 00:12:20,170 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Could not transfer metadata com.yizhenmoney.common:damocles-common-redis:1.1.0-SNAPSHOT/maven-metadata.xml from/to snapshots (http://192.168.220.207:8081/content/repositories/snapshots/): connect timed out
2018-03-12 00:12:20,183 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Failure to transfer com.yizhenmoney.common:damocles-common-redis:1.1.0-SNAPSHOT/maven-metadata.xml from http://192.168.220.207:8081/content/groups/public/ was cached in the local repository, resolution will not be reattempted until the update interval of nexus has elapsed or updates are forced. Original error: Could not transfer metadata com.yizhenmoney.common:damocles-common-redis:1.1.0-SNAPSHOT/maven-metadata.xml from/to nexus (http://192.168.220.207:8081/content/groups/public/): connect timed out
